year,m1_money_stock_pounds,gdp_million_pounds,gdp_billion_pounds,Y_nominal_pounds,z,z_percent,bank_rate,bank_rate_percent,bank_rate_eoy,i,log_i,log_z
1980,11721000000,259970,259.97,259970000000,0.04508597145824518,4.508597145824518,0.163005464480874,16.3005464480874,0.14,0.163005464480874,-1.81397155431476,-3.0991841350017832
1981,12320000000,290180,290.18,290180000000,0.04245640636846096,4.245640636846096,0.131628424657534,13.1628424657534,0.14375,0.131628424657534,-2.02777229057561,-3.1592774619821653
1982,12763000000,319558,319.558,319558000000,0.03993954149168539,3.993954149168539,0.119479452054795,11.9479452054795,0.1,0.119479452054795,-2.12461087172782,-3.2203884309881197
1983,13672000000,351347,351.347,351347000000,0.03891309730835897,3.8913097308358973,0.09856506849315069,9.85650684931507,0.090625,0.0985650684931507,-2.31703835506107,-3.246424393294085
1984,14411000000,377920,377.92,377920000000,0.03813240897544454,3.813240897544454,0.09662226775956279,9.66222677595628,0.095,0.0966222677595628,-2.33694604921884,-3.266690729152773
1985,14941000000,414630,414.63,414630000000,0.03603453681595639,3.603453681595639,0.120828767123288,12.0828767123288,0.11375,0.120828767123288,-2.11338088339407,-3.323277444415097
1986,15695000000,446600,446.6,446600000000,0.03514330497089118,3.514330497089118,0.107393835616438,10.7393835616438,0.10875,0.107393835616438,-2.2312524950496,-3.3483211491121407
1987,16447000000,496809,496.809,496809000000,0.03310527788345219,3.310527788345219,0.0959280821917808,9.59280821917808,0.08375,0.0959280821917808,-2.34415651209838,-3.4080625566380744
1988,17867000000,555683,555.683,555683000000,0.032153224050402836,3.2153224050402835,0.0995696721311475,9.95696721311475,0.12875,0.0995696721311475,-2.30689765743534,-3.437242551820831
1989,18820000000,614631,614.631,614631000000,0.030619998015069205,3.0619998015069205,0.136755139726027,13.6755139726027,0.14875,0.136755139726027,-1.9895632535525,-3.486101953577252
1990,19367000000,670797,670.797,670797000000,0.028871625842095298,2.8871625842095296,0.146366438356164,14.6366438356164,0.13875,0.146366438356164,-1.92164194993692,-3.544895970921544
1991,19880000000,705884,705.884,705884000000,0.028163267619042223,2.816326761904222,0.115558219178082,11.5558219178082,0.10375,0.115558219178082,-2.15798081386904,-3.5697367168161045
1992,20445000000,730874,730.874,730874000000,0.0279733579248954,2.79733579248954,0.0942144808743169,9.42144808743169,0.06875,0.0942144808743169,-2.36218138443383,-3.5765027244552727
1993,21559000000,769855,769.855,769855000000,0.028003974774470516,2.8003974774470515,0.0589006849315069,5.89006849315069,0.05375,0.0589006849315069,-2.83190255967393,-3.5754088226506755
1994,23078000000,810794,810.794,810794000000,0.028463456809004507,2.8463456809004506,0.053400684931506896,5.34006849315069,0.06125,0.0534006849315069,-2.92993170666553,-3.55913423167932
1995,24299000000,851845,851.845,851845000000,0.028525142484841726,2.8525142484841726,0.0656815068493151,6.56815068493151,0.06375,0.0656815068493151,-2.72293787181558,-3.556969388159997
1996,25959000000,909993,909.993,909993000000,0.02852659306170487,2.852659306170487,0.0588370901639344,5.88370901639344,0.059375,0.0588370901639344,-2.83298283783793,-3.556918536880906
1997,27647000000,953405,953.405,953405000000,0.02899816971801071,2.899816971801071,0.0654760273972603,6.54760273972603,0.0725,0.0654760273972603,-2.72607119726801,-3.5405225641594273
1998,29094000000,998501,998.501,998501000000,0.029137677378390205,2.9137677378390205,0.0722808219178082,7.22808219178082,0.0625,0.0722808219178082,-2.62719644201938,-3.5357231870063517
1999,32602000000,1043248,1043.248,1043248000000,0.031250479272426114,3.1250479272426115,0.0534520547945205,5.34520547945205,0.055,0.0534520547945206,-2.92897019894747,-3.465720566199697
2000,34376000000,1100752,1100.752,1100752000000,0.03122955942846345,3.122955942846345,0.059644808743169395,5.96448087431694,0.06,0.0596448087431694,-2.81934816283951,-3.466390215104512
2001,37237000000,1146135,1146.135,1146135000000,0.032489191936377476,3.2489191936377475,0.0511780821917808,5.11780821917808,0.04,0.0511780821917808,-2.97244392078179,-3.426847800759159
2002,39439000000,1191439,1191.439,1191439000000,0.03310198843583263,3.3101988435832634,0.04,4,0.04,0.04,-3.2188758248682,-3.408161924813356
2003,42238000000,1258334,1258.334,1258334000000,0.033566604732924644,3.3566604732924645,0.0369315068493151,3.69315068493151,0.0375,0.0369315068493151,-3.29869024809833,-3.394223613024017
2004,44347000000,1322637,1322.637,1322637000000,0.03352922986427871,3.3529229864278713,0.043818306010928995,4.3818306010929,0.0475,0.043818306010929,-3.12770360345961,-3.3953376873249326
2005,46028000000,1398749,1398.749,1398749000000,0.03290654720754045,3.2906547207540453,0.046472602739726004,4.6472602739726,0.045,0.046472602739726,-3.0688923284215,-3.414083637740628
2006,48172000000,1472038,1472.038,1472038000000,0.0327246986830503,3.27246986830503,0.0463972602739726,4.63972602739726,0.05,0.0463972602739726,-3.07051486731276,-3.4196251747747723
2007,51016000000,1544637,1544.637,1544637000000,0.03302782466042183,3.302782466042183,0.0551027397260274,5.51027397260274,0.055,0.0551027397260274,-2.89855584126399,-3.4104049012571473
2008,54399000000,1593600,1593.6,1593600000000,0.0341359186746988,3.4135918674698797,0.0467144808743169,4.67144808743169,0.02,0.0467144808743169,-3.06370107941125,-3.3774051154903355
